,HteamTS,HteamEFG,HteamPPS,HteamFIC,teamFIC40,HteamOrtg,HteamEDiff,HteamPlay,Hwin%,AteamTS,AteamEFG,AteamFIC,teamFIC40,AteamEDiff,Awin%,target
109,0.5384500000000001,0.5045833333333333,1.1870333333333332,76.27083333333333,63.55903333333333,102.28413333333332,1.5967333333333336,0.42545,0.6666666666666666,0.4786,0.4363875,63.296875,51.2455125,-2.490275,0.375,1
110,0.5144,0.4671428571428571,1.1607714285714288,70.625,58.166271428571434,101.82778571428571,0.4641285714285715,0.3932000000000001,0.42857142857142855,0.5084799999999999,0.46776,69.625,58.02084,-0.3327199999999998,0.6,1
111,0.5257999999999999,0.475,1.2140857142857144,71.51785714285714,59.59821428571429,102.60854285714287,3.391042857142857,0.4173857142857143,0.7142857142857143,0.50485,0.4538166666666667,72.6875,59.69176666666666,-3.67325,0.5,0
112,0.5586125000000001,0.5189250000000001,1.25225,73.203125,60.34665,107.411625,3.199587499999999,0.4294750000000001,0.5,0.4719,0.4388,61.89583333333334,50.77896666666667,-8.762866666666666,0.0,1
113,0.4982375,0.46035,1.1125999999999998,72.65625,60.5468625,103.9304,-4.8863,0.4329125,0.5,0.5244428571428571,0.4743428571428572,73.16071428571429,60.967271428571436,4.452071428571427,0.5714285714285714,0
114,0.58,0.5387571428571428,1.3216285714285714,77.78571428571429,64.82144285714286,108.34774285714286,8.712414285714285,0.4473857142857143,0.7142857142857143,0.5865125,0.5506500000000001,82.640625,68.8671875,5.455987499999999,0.75,1
115,0.5029571428571429,0.464,1.1382428571428571,63.30357142857143,51.28285714285714,98.0646,-3.7148857142857135,0.40277142857142856,0.42857142857142855,0.5203333333333333,0.4954666666666666,67.60416666666667,56.33681666666666,-1.1362500000000002,0.5,1
116,0.5795625,0.5152125,1.3504,73.90625,61.588525,105.4084625,7.329175,0.4139375,0.75,0.5217833333333334,0.4713,78.0625,65.05208333333333,9.829583333333332,0.8333333333333334,0
117,0.5001875,0.4764875,1.1056125,77.140625,62.6831875,103.336975,0.913925,0.4394375,0.5,0.5832333333333334,0.5464666666666668,81.08333333333333,67.56944444444444,4.02481111111111,0.6666666666666666,0
118,0.5544875,0.5193875,1.2505875,75.84375,63.203125,104.592625,4.457925,0.432575,0.875,0.5663599999999999,0.53346,80.325,66.9375,17.2524,1.0,0
119,0.53755,0.5009333333333333,1.230883333333333,71.60416666666667,59.67013333333333,108.09458333333332,4.894100000000001,0.43735,0.6666666666666666,0.5524874999999999,0.50065,72.28125,59.5120875,-0.7168375,0.625,1
120,0.4758555555555556,0.4330444444444444,1.0625111111111112,62.27777777777778,50.563144444444454,95.36818888888891,-3.8861999999999988,0.3834444444444444,0.3333333333333333,0.5608,0.5189555555555556,73.8611111111111,60.96785555555557,3.5845555555555544,0.5555555555555556,1
121,0.4856625,0.4447625,1.07405,63.53125,52.9427,95.3702,-3.4505,0.3839875,0.5,0.5195222222222223,0.4790222222222222,73.97222222222223,59.18816666666666,0.006622222222222185,0.4444444444444444,1
122,0.5043888888888889,0.4616555555555556,1.1484666666666667,64.08333333333333,53.40277777777778,99.87433333333334,-7.810366666666668,0.40597777777777777,0.1111111111111111,0.4920857142857143,0.4629428571428572,63.26785714285714,52.723228571428564,-7.4478285714285715,0.2857142857142857,0
123,0.515975,0.4673250000000001,1.1965875,71.4375,59.53125,101.1747625,2.7052625,0.4142625,0.625,0.5102125000000001,0.4685,63.125,51.3178125,-2.7046875000000004,0.5,0
124,0.5382750000000001,0.4958875,1.264725,73.015625,60.84635,105.12675,3.7498875,0.430925,0.375,0.4952333333333333,0.4568222222222222,71.9861111111111,59.40643333333334,-5.016755555555556,0.4444444444444444,1
125,0.5243142857142857,0.4769428571428572,1.1718142857142857,77.73214285714286,64.77678571428571,109.26181428571428,10.027614285714282,0.4372142857142858,0.8571428571428571,0.5630833333333333,0.5317999999999999,79.70833333333333,66.42361666666666,15.110683333333334,1.0,1
126,0.476375,0.4389875,1.0498,57.0,46.2203625,96.73026249999998,-8.4845875,0.4024375000000001,0.25,0.5191571428571429,0.4933714285714285,66.625,55.520842857142846,-1.5977428571428571,0.42857142857142855,0
127,0.5095333333333333,0.4652,1.1318833333333334,69.33333333333333,57.77778333333333,100.08698333333332,-1.00355,0.4115666666666666,0.5,0.5797555555555555,0.5166111111111111,74.16666666666667,61.80554444444446,5.268622222222223,0.6666666666666666,0
128,0.520725,0.4799625,1.16685,69.140625,56.7818875,104.5351875,-3.282125000000001,0.41655,0.375,0.5197875,0.4728125,70.796875,58.3954875,0.950825,0.5,1
129,0.4974299999999999,0.46276999999999996,1.1019,72.225,59.663709999999995,104.51564999999998,-5.76975,0.4356999999999999,0.4,0.5832200000000001,0.54701,80.7,67.25,4.2048299999999985,0.7,0
130,0.5851875,0.5408625,1.3421875,78.21875,65.1823,108.9905875,8.551437499999999,0.4448125,0.75,0.5296,0.4818125,74.9375,61.5892875,4.6531125,0.625,1
131,0.5506,0.5153222222222222,1.2393444444444444,75.79166666666667,63.15972222222222,105.19944444444445,3.4734777777777768,0.4336111111111111,0.7777777777777778,0.4982333333333333,0.4740444444444444,76.25,62.11885555555556,0.1651555555555556,0.4444444444444444,1
