,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
22,78.0,0.39,0.7304999999999999,0.1835,20.5,41.5,82.66666666666667,0.398,0.7943333333333333,0.2333333333333333,19.33333333333333,44.33333333333334,1
23,86.66666666666669,0.4286666666666667,0.718,0.3716666666666668,13.0,39.66666666666666,98.0,0.43200000000000005,0.688,0.249,24.5,46.0,0
24,85.66666666666667,0.3826666666666667,0.7336666666666667,0.4086666666666667,19.33333333333333,50.33333333333334,76.66666666666667,0.4096666666666667,0.6643333333333333,0.35000000000000003,16.333333333333332,31.33333333333333,0
25,77.5,0.34650000000000003,0.7759999999999999,0.127,17.0,49.0,84.5,0.39,0.8380000000000001,0.2505,19.5,42.5,1
26,85.33333333333333,0.369,0.7673333333333333,0.2776666666666667,15.666666666666664,43.0,109.0,0.506,0.6,0.35,32.0,46.0,0
27,93.0,0.43675,0.6905,0.21,19.0,46.5,94.5,0.516,0.7245,0.34950000000000003,24.0,35.0,1
28,87.0,0.391,0.588,0.23800000000000002,19.0,51.0,85.66666666666667,0.39566666666666667,0.7323333333333334,0.16433333333333333,16.0,41.0,1
29,98.0,0.478,0.7095,0.381,21.0,36.5,90.25,0.45675,0.62775,0.4280000000000001,23.75,46.75,1
30,82.5,0.324,0.748,0.354,13.5,52.0,102.33333333333331,0.4956666666666667,0.818,0.4036666666666667,24.0,37.66666666666666,1
31,92.0,0.4636666666666666,0.7636666666666666,0.21433333333333332,21.66666666666667,44.66666666666666,77.33333333333333,0.3913333333333333,0.6906666666666667,0.466,17.666666666666668,43.66666666666666,1
32,97.66666666666669,0.43333333333333335,0.7663333333333334,0.4093333333333333,23.33333333333333,45.66666666666666,93.33333333333331,0.4803333333333333,0.6453333333333333,0.25266666666666665,23.33333333333333,41.66666666666666,1
33,92.5,0.4214999999999999,0.73175,0.229,16.75,37.75,95.0,0.42775,0.7104999999999999,0.355,17.75,39.25,0
34,106.0,0.4815,0.6459999999999999,0.252,28.0,49.0,95.5,0.4925,0.7415,0.3115,18.5,44.0,1
35,91.66666666666669,0.42700000000000005,0.6403333333333333,0.243,24.33333333333333,44.0,80.33333333333333,0.3740000000000001,0.765,0.19566666666666666,18.0,45.66666666666666,1
36,91.0,0.4151999999999999,0.7378,0.2666,16.6,36.8,81.0,0.396,0.8713333333333333,0.19266666666666665,19.666666666666668,40.66666666666666,0
37,97.0,0.4906666666666666,0.7496666666666667,0.31633333333333336,24.33333333333333,36.0,76.33333333333333,0.41200000000000003,0.7596666666666666,0.25566666666666665,20.33333333333333,39.333333333333336,1
38,100.0,0.4833333333333333,0.726,0.3873333333333333,23.0,37.0,86.75,0.41375,0.6855,0.25475000000000003,17.5,37.0,0
39,75.0,0.3635,0.7055,0.412,16.75,44.0,82.75,0.4125,0.726,0.3120000000000001,13.25,40.25,0
40,99.8,0.4528,0.7202,0.24620000000000006,20.8,47.0,79.0,0.37075,0.7475,0.25,14.75,45.25,1
41,89.0,0.40399999999999997,0.7195,0.40025,20.25,46.75,97.5,0.44475,0.7212500000000001,0.43200000000000005,23.25,42.25,1
42,83.25,0.41925,0.64025,0.33399999999999996,17.0,36.5,91.33333333333331,0.3786666666666667,0.7723333333333334,0.36933333333333335,17.333333333333332,51.0,1
43,93.5,0.45975,0.7025,0.26075000000000004,23.0,47.0,99.66666666666669,0.4626666666666667,0.6579999999999999,0.2893333333333333,28.0,48.0,0
44,80.25,0.376,0.7537499999999999,0.24675,18.75,46.25,81.8,0.3906,0.7314,0.3,15.6,44.8,1
45,92.5,0.43799999999999994,0.73575,0.294,25.75,42.25,85.8,0.4342,0.7386,0.3696,15.0,40.4,0
46,79.5,0.39775,0.8887499999999999,0.16524999999999998,20.5,42.75,96.2,0.4478,0.7354,0.3034,22.8,48.0,0
47,86.8,0.3836000000000001,0.7554000000000001,0.2466,16.2,39.4,73.2,0.344,0.7083999999999999,0.4154,16.4,43.6,0
48,88.2,0.4280000000000001,0.7026,0.2538,17.8,35.4,94.0,0.4372,0.6946000000000001,0.39,22.8,42.2,0
49,96.0,0.476,0.7432500000000001,0.3205,22.5,40.25,88.75,0.38,0.8255,0.326,17.25,41.75,1
50,95.75,0.4605,0.7052499999999999,0.35875,22.75,38.0,90.75,0.4135,0.65875,0.26125,24.0,44.0,1
51,87.66666666666669,0.4523333333333334,0.6873333333333335,0.2743333333333333,19.666666666666668,44.66666666666666,89.2,0.4086,0.7060000000000001,0.3868,20.2,47.4,1
52,89.2,0.4612,0.6552,0.3788,23.6,44.8,83.5,0.35675,0.746,0.3325,16.0,50.5,0
53,95.2,0.4256,0.7325999999999999,0.3698,17.6,41.4,92.5,0.462,0.6945,0.2665,22.5,41.25,1
54,87.6,0.4428,0.6946,0.32280000000000003,20.2,43.8,103.4,0.4646000000000001,0.8084,0.29100000000000004,21.8,46.6,1
55,79.25,0.42,0.778,0.299,20.5,37.75,98.75,0.4625,0.7865,0.3695000000000001,24.0,38.5,0
56,89.0,0.418,0.7432000000000001,0.3018,24.8,40.8,80.8,0.4064,0.6599999999999999,0.2672,17.8,39.0,0
57,76.0,0.36725,0.81625,0.26875,17.0,44.5,101.6,0.4422,0.835,0.294,22.2,45.4,1
58,80.2,0.3692,0.7297999999999999,0.2508,17.4,46.6,103.0,0.462,0.6459999999999999,0.32225,27.25,48.0,0
59,87.0,0.379,0.8032,0.3234,16.4,40.4,90.0,0.4122,0.6744,0.2966,24.2,42.6,1
60,81.6,0.4062,0.8443999999999999,0.1894,21.2,43.2,104.0,0.47,0.8006,0.4242000000000001,25.0,39.0,1
61,85.8,0.425,0.7068000000000001,0.30720000000000003,19.6,39.8,87.0,0.4382,0.6526,0.28979999999999995,22.4,45.6,1
62,95.2,0.43,0.7501999999999999,0.3698,17.6,43.0,98.6,0.456,0.759,0.3496,23.0,47.0,1
63,86.8,0.4270000000000001,0.7426,0.3184,20.8,44.4,76.2,0.3732,0.8030000000000002,0.3038,18.0,44.4,1
64,91.6,0.4642000000000001,0.7438,0.244,22.6,41.0,85.0,0.4068000000000001,0.7722000000000001,0.3946,24.6,39.6,0
65,82.8,0.361,0.7524,0.373,18.6,44.0,92.2,0.4436,0.6898,0.27219999999999994,21.4,35.4,0
66,85.4,0.3718,0.708,0.3396,16.2,48.8,95.66666666666669,0.39666666666666667,0.7553333333333333,0.38166666666666665,19.0,48.66666666666666,0
67,94.2,0.42200000000000004,0.7352000000000001,0.3366,22.0,44.6,106.4,0.4566,0.6412,0.3006,25.6,51.6,1
68,110.33333333333331,0.452,0.7136666666666667,0.342,23.66666666666667,43.66666666666666,95.2,0.4608,0.7293999999999999,0.387,22.2,40.4,1
69,87.2,0.3756,0.7353999999999999,0.3266,17.0,39.2,87.6,0.439,0.7668,0.328,22.8,39.4,0
70,90.5,0.45075,0.6767500000000001,0.27525,20.5,46.5,95.0,0.473,0.7546000000000002,0.27640000000000003,21.2,41.8,1
71,94.8,0.4584,0.7979999999999999,0.3024,20.6,42.2,86.6,0.3934,0.7108000000000001,0.2728,23.0,39.0,1
72,99.4,0.4718,0.7405999999999999,0.409,23.4,40.8,85.0,0.38299999999999995,0.7298,0.4068000000000001,20.2,42.6,0
73,100.6,0.4554,0.7426,0.3416,22.2,47.6,87.2,0.4278000000000001,0.8490000000000001,0.2406,22.4,45.2,1
74,90.8,0.4431999999999999,0.698,0.3678,21.2,42.4,87.6,0.412,0.6559999999999999,0.3676,20.4,47.0,1
75,79.2,0.3908,0.7769999999999999,0.3222,14.2,42.6,88.6,0.4408,0.7826,0.3946,22.2,40.0,0
76,87.0,0.4462,0.7346,0.40299999999999997,16.4,41.8,84.4,0.3796000000000001,0.7325999999999999,0.33540000000000003,17.0,37.2,1
77,88.4,0.4394,0.6884,0.3398,23.2,45.8,89.8,0.4348,0.7554000000000001,0.3128,21.4,45.8,1
78,87.0,0.3656,0.7395999999999999,0.3242,17.2,48.4,97.2,0.4378,0.852,0.3046,22.8,45.0,0
